video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/qc0rekzHihc,/@SugarFreeContent,No Sugar Coat Podcast,Discover Soulaani: The New Identity for Black Americans #NoSugarCoatPodcast,4.1K,10 months,Discover Soulaani: The New Identity for Black Americans #NoSugarCoatPodcast #Soulaan #Soulaani #Sulani #CulturalIdentity ...,2026-01-22 01:03:06.653963
/watch?v=-PuI4_vDtxE&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@atlantablackstar7299,Atlanta Black Star,Why Black People Are Suffering A Major Identity Crisis in the 21st Century,60K,9 years,https://atlantablackstar.com/2016/05/09/black-people-suffering-major-identity-crisis-21st-century/ Black people worldwide are ...,2026-01-22 01:03:06.655882
/watch?v=CRIaxjZxyJg&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@pbswisconsin,PBS Wisconsin,Black vs. African American Identity | Why Race Matters,5.3K,8 months,"In America, identity is complex. Black and African American are often used interchangeably but have distinct meanings. For some ...",2026-01-22 01:03:06.658833
/watch?v=BmbzPzip4Fs&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@blacklinguisticjustice2467,Black Linguistic Justice,"Linguistic Justice: Black Language, Literacy, Identity, and Pedagogy",37K,5 years,"Bringing together theory, research, and practice to dismantle Anti-Black Linguistic Racism and white linguistic supremacy, this ...",2026-01-22 01:03:06.663252
/watch?v=TIoqoU3Hhzg&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@rolandsmartin,Roland S. Martin,FBI Targets 'Black Identity Extremists',92K,8 years,"""Black Identity Extremists"". That's the label an internal report by the FBI's counter-terrorism division is giving to black activists ...",2026-01-22 01:03:06.667379
/watch?v=K0XXh-6ttjE&list=RDK0XXh-6ttjE&start_radio=1&pp=ygUOYmxhY2sgaWRlbnRpdHmgBwE%3D,/@scantraxx,SCANTRAXX,Black Identity - Blckr Thn Blck (Official Audio),18K,5 years,"This is the official Hardstyle video of 'Blckr Thn Blck' by Black Identity, released on Scantraxx. Want to check out more Hardstyle?",2026-01-22 01:03:06.672877
/shorts/YSMte7ywKww,/@Power1051NewYork,Power 105.1,Why Black Americans Struggle With Identity,1.4K,7 months,Dr. Umar EXPOSES Black Identity Crisis⁣ ⁣ Dr. Umar Johnson breaks down why Black Americans struggle with self-hate and ...,2026-01-22 01:03:06.674211
/shorts/34QWDC4Y_go,/@AFROTV,AFRO,Why Tyla's Blackness Matters: Addressing Racial Identity | Honest Conversation,121K,1 year,"In this video, we delve into the importance of Tyla's blackness and why it should not be hidden. Join us as we discuss the ...",2026-01-22 01:03:14.932027
/shorts/f3CROwe7fvY,/@BiracialVoices,Biracial Voices,#BarackObama on his racial identity,369K,1 year,mariahcarey #black #irish #shorts #humor #funny #comedy #shortsfeed #fypシ #fypシ゚viral #viral #tiktokvideo #tiktokviralvideo ...,2026-01-22 01:03:14.933424
/watch?v=y2p6ApJMh2c&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@jouelzy,Jouelzy,Quick Starter Tips for Learning More About Black Identity/History #SmartBrownGirl | Jouelzy,19K,9 years,Please support by turning off your ad blocker and/or becoming a Patron via http://Patreon.com/jouelzy. ...:::ALL THE LINKS:::.,2026-01-22 01:03:14.935082
